name,company,place,salary,education,experience,label,scale,href,key_word,salary_avg,experience_years,education_level,scale_value,cluster
量化研究院Python兼职,北京五十步电子商务有限责任公司,北京,18-30k,本科,经验不限,北京五十步电子商务有限责任公司,1-49人,https://www.liepin.com/job/1978617667.shtml,Python,24.0,0.5,3,0,2
Python工程师,北京光华荣昌汽车部件有限公司,北京-昌平区,15-20k·13薪,统招本科,3-5年,北京光华荣昌汽车部件有限公司,1000-2000人,https://www.liepin.com/job/1978565399.shtml,Python,17.5,4.0,3,0,4
Python开发,北京中航仁达科技有限公司,北京-海淀区,13-17k,本科,4-6年,北京中航仁达科技有限公司 融资未公开,1-49人,https://www.liepin.com/job/1978550213.shtml,Python,15.0,5.0,3,0,4
Python爬虫工程师,深圳大生知行教育,北京-朝阳区,20-30k,本科,5-10年,深圳大生知行教育 美股上市,2000-5000人,https://www.liepin.com/job/1978330879.shtml,Python,25.0,7.5,3,0,3
Python开发工程师 AI大模型方向 内研,中电金信,北京,20-25k·13薪,统招本科,4-10年,中电金信 不需要融资,10000人以上,https://www.liepin.com/job/1978181853.shtml,Python,22.5,7.0,3,5,1
Python开发工程师,杭州中电安科现代科技有限公司,北京-海淀区,15-25k,统招本科,5-10年,杭州中电安科现代科技有限公司,100-499人,https://www.liepin.com/job/1977902927.shtml,Python,20.0,7.5,3,2,3
Python 开发工程师,天枢摇光(北京)科技有限公司,北京-海淀区,7-20k,本科,经验不限,天枢摇光(北京)科技有限公司,50-99人,https://www.liepin.com/job/1977836257.shtml,Python,13.5,0.5,3,0,4
Python开发工程师,钰兔科技集团有限公司,北京-大兴区,13-20k,统招本科,3年以上,钰兔科技集团有限公司 A轮,100-499人,https://www.liepin.com/job/1977828313.shtml,Python,16.5,3.0,3,2,4
交易系统开发工程师 (Python),吉富创投,北京-朝阳区,20-21k,统招本科,3年以上,吉富创投,1-49人,https://www.liepin.com/job/1977784019.shtml,Python,20.5,3.0,3,0,4
大模型应用开发-go/python研发工程师（J94477）,Baidu,北京-海淀区,25-45k·16薪,统招本科,1-3年,Baidu 美股上市,10000人以上,https://www.liepin.com/job/1977762779.shtml,Python,35.0,2.0,3,5,1
大模型应用开发-python研发工程师 J94477,Baidu,北京-海淀区,30-60k·16薪,统招本科,1-3年,Baidu 美股上市,10000人以上,https://www.liepin.com/job/1977758071.shtml,Python,45.0,2.0,3,5,1
Python/全栈开发工程师,北京青色博研科技有限公司,北京-海淀区,12-18k,本科,3-5年,北京青色博研科技有限公司,50-99人,https://www.liepin.com/job/1977695355.shtml,Python,15.0,4.0,3,0,4
